sample_index,sample_id,prompt,instruction_id_list,kwargs,baseline_response_character_length,baseline_strict_prompt_passed,baseline_strict_instruction_score,baseline_loose_prompt_passed,baseline_loose_instruction_score,baseline_provider_status,baseline_provider_error,baseline_checker_error,baseline_mhc_response_character_length,baseline_mhc_strict_prompt_passed,baseline_mhc_strict_instruction_score,baseline_mhc_loose_prompt_passed,baseline_mhc_loose_instruction_score,baseline_mhc_provider_status,baseline_mhc_provider_error,baseline_mhc_checker_error,verbose_helpfulness_response_character_length,verbose_helpfulness_strict_prompt_passed,verbose_helpfulness_strict_instruction_score,verbose_helpfulness_loose_prompt_passed,verbose_helpfulness_loose_instruction_score,verbose_helpfulness_provider_status,verbose_helpfulness_provider_error,verbose_helpfulness_checker_error,mhc_concise_response_character_length,mhc_concise_strict_prompt_passed,mhc_concise_strict_instruction_score,mhc_concise_loose_prompt_passed,mhc_concise_loose_instruction_score,mhc_concise_provider_status,mhc_concise_provider_error,mhc_concise_checker_error,ifbench_gepa_prompt_transfer_response_character_length,ifbench_gepa_prompt_transfer_strict_prompt_passed,ifbench_gepa_prompt_transfer_strict_instruction_score,ifbench_gepa_prompt_transfer_loose_prompt_passed,ifbench_gepa_prompt_transfer_loose_instruction_score,ifbench_gepa_prompt_transfer_provider_status,ifbench_gepa_prompt_transfer_provider_error,ifbench_gepa_prompt_transfer_checker_error,gepa_p2_transfer_response_character_length,gepa_p2_transfer_strict_prompt_passed,gepa_p2_transfer_strict_instruction_score,gepa_p2_transfer_loose_prompt_passed,gepa_p2_transfer_loose_instruction_score,gepa_p2_transfer_provider_status,gepa_p2_transfer_provider_error,gepa_p2_transfer_checker_error
0,1000,"Write a 300+ word summary of the wikipedia page ""https://en.wikipedia.org/wiki/Raymond_III,_Count_of_Tripoli"". Do not use any commas and highlight at least 3 sections that has titles in markdown format, for example *highlighted section part 1*, *highlighted section part 2*, *highlighted section part 3*.","[""punctuation:no_comma"", ""detectable_format:number_highlighted_sections"", ""length_constraints:number_words""]","[{}, {""num_highlights"": 3}, {""relation"": ""at least"", ""num_words"": 300}]",1975,True,1.0,True,1.0,ok,,,2242,True,1.0,True,1.0,ok,,,2245,True,1.0,True,1.0,ok,,,2276,True,1.0,True,1.0,ok,,,2203,True,1.0,True,1.0,ok,,,2044,True,1.0,True,1.0,ok,,
1,1001,"I am planning a trip to Japan, and I would like thee to write an itinerary for my journey in a Shakespearean style. You are not allowed to use any commas in your response.","[""punctuation:no_comma""]",[{}],2556,True,1.0,True,1.0,ok,,,981,True,1.0,True,1.0,ok,,,1423,True,1.0,True,1.0,ok,,,617,True,1.0,True,1.0,ok,,,1027,True,1.0,True,1.0,ok,,,1672,True,1.0,True,1.0,ok,,
2,1005,"Write a resume for a fresh high school graduate who is seeking their first job. Make sure to include at least 12 placeholder represented by square brackets, such as [address], [name].","[""detectable_content:number_placeholders""]","[{""num_placeholders"": 12}]",2259,True,1.0,True,1.0,ok,,,1539,True,1.0,True,1.0,ok,,,2163,True,1.0,True,1.0,ok,,,1358,True,1.0,True,1.0,ok,,,2336,True,1.0,True,1.0,ok,,,1798,True,1.0,True,1.0,ok,,
3,1012,"Write an email to my boss telling him that I am quitting. The email must contain a title wrapped in double angular brackets, i.e. <<title>>.
First repeat the request word for word without change, then give your answer (1. do not say any words or characters before repeating the request; 2. the request you need to repeat does not include this sentence)","[""combination:repeat_prompt"", ""detectable_format:title""]","[{""prompt_to_repeat"": ""Write an email to my boss telling him that I am quitting. The email must contain a title wrapped in double angular brackets, i.e. <<title>>.""}, {}]",992,True,1.0,True,1.0,ok,,,817,True,1.0,True,1.0,ok,,,993,True,1.0,True,1.0,ok,,,652,True,1.0,True,1.0,ok,,,960,True,1.0,True,1.0,ok,,,907,True,1.0,True,1.0,ok,,
4,1019,"Given the sentence ""Two young boys with toy guns and horns."" can you ask a question? Please ensure that your response is in English, and in all lowercase letters. No capital letters are allowed.","[""change_case:english_lowercase""]",[{}],36,True,1.0,True,1.0,ok,,,36,True,1.0,True,1.0,ok,,,36,True,1.0,True,1.0,ok,,,36,True,1.0,True,1.0,ok,,,36,True,1.0,True,1.0,ok,,,36,True,1.0,True,1.0,ok,,
5,102,"Write a dialogue between two people, one is dressed up in a ball gown and the other is dressed down in sweats. The two are going to a nightly event. Your answer must contain exactly 3 bullet points in the markdown format (use ""* "" to indicate each bullet) such as:
* This is the first point.
* This is the second point.","[""detectable_format:number_bullet_lists""]","[{""num_bullets"": 3}]",339,True,1.0,True,1.0,ok,,,296,True,1.0,True,1.0,ok,,,399,True,1.0,True,1.0,ok,,,378,True,1.0,True,1.0,ok,,,434,True,1.0,True,1.0,ok,,,316,True,1.0,True,1.0,ok,,
6,1021,"Write a 2 paragraph critique of the following sentence in all capital letters, no lowercase letters allowed: ""If the law is bad, you should not follow it"". Label each paragraph with PARAGRAPH X.","[""change_case:english_capital"", ""detectable_format:multiple_sections""]","[{}, {""section_spliter"": ""PARAGRAPH"", ""num_sections"": 2}]",1062,True,1.0,True,1.0,ok,,,895,True,1.0,True,1.0,ok,,,1120,True,1.0,True,1.0,ok,,,548,True,1.0,True,1.0,ok,,,835,True,1.0,True,1.0,ok,,,1093,True,1.0,True,1.0,ok,,
7,1040,"Write me a resume for Matthias Algiers. Use words with all capital letters to highlight key abilities, but make sure that words with all capital letters appear less than 10 times. Wrap the entire response with double quotation marks.","[""change_case:capital_word_frequency"", ""change_case:capital_word_frequency"", ""startend:quotation""]","[{""capital_relation"": ""less than"", ""capital_frequency"": 10}, {""capital_relation"": ""at least"", ""capital_frequency"": 1}, {}]",1807,False,0.6666666666666666,False,0.6666666666666666,ok,,,1219,False,0.6666666666666666,False,0.6666666666666666,ok,,,1477,False,0.6666666666666666,False,0.6666666666666666,ok,,,1028,False,0.6666666666666666,False,0.6666666666666666,ok,,,1386,False,0.6666666666666666,False,0.6666666666666666,ok,,,1546,False,0.6666666666666666,False,0.6666666666666666,ok,,
8,1051,Write a letter to a friend in all lowercase letters ask them to go and vote.,"[""change_case:english_lowercase""]",[{}],458,True,1.0,True,1.0,ok,,,224,True,1.0,True,1.0,ok,,,374,True,1.0,True,1.0,ok,,,172,True,1.0,True,1.0,ok,,,192,True,1.0,True,1.0,ok,,,344,True,1.0,True,1.0,ok,,
9,1069,"Write a long email template that invites a group of participants to a meeting, with at least 500 words. The email must include the keywords ""correlated"" and ""experiencing"" and should not use any commas.","[""keywords:existence"", ""length_constraints:number_words"", ""punctuation:no_comma""]","[{""keywords"": [""correlated"", ""experiencing""]}, {""relation"": ""at least"", ""num_words"": 500}, {}]",2331,False,0.6666666666666666,False,0.6666666666666666,ok,,,2844,False,0.6666666666666666,False,0.6666666666666666,ok,,,3196,False,0.6666666666666666,False,0.6666666666666666,ok,,,2400,False,0.6666666666666666,False,0.6666666666666666,ok,,,1946,False,0.6666666666666666,False,0.6666666666666666,ok,,,3087,False,0.6666666666666666,False,0.6666666666666666,ok,,
